[2025-12-31T07:45:39.267522-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:45:53.548561-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:46:13.170073-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:46:20.929959-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:51:54.579382-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:53:15.259880-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:53:28.023745-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:53:37.209710-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:54:18.234046-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:55:48.719897-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:56:02.586651-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:58:04.808543-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:58:29.414959-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:59:05.571648-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:59:22.362411-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:59:35.912191-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:00:39.884622-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:00:58.576394-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:01:31.454089-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:01:45.545354-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:02:02.820102-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:02:59.444007-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:03:15.479931-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:03:34.005866-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T08:08:04.958427-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T09:19:52.612675-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T09:26:37.453425-06:00] amores.ERROR: mensaje: Call to a member function format() on bool, archivo: C:\xampp\htdocs\amores\Helpers\Helpers.php, linea: 280, codigo: 0 [] []
[2025-12-31T09:35:25.197720-06:00] amores.ERROR: mensaje: Call to a member function format() on bool, archivo: C:\xampp\htdocs\amores\Helpers\Helpers.php, linea: 280, codigo: 0 [] []
[2025-12-31T09:40:52.832919-06:00] amores.ERROR: mensaje: Call to a member function format() on bool, archivo: C:\xampp\htdocs\amores\Helpers\Helpers.php, linea: 280, codigo: 0 [] []
